pair_id,kn_word,te_word,kn_iso,te_iso,en_kn,en_te,gloss,candidate_source,label,origin,annotator,notes,excluded
B000018,ಪಕಾರಾಂತ,ఫకారాంత,pakārāṁta,phakārāṁta,Which ends with the letter p,As the letter f comes at the end of any word,kn: ಯಾವುದರ ಅಂತ್ಯ ಪ ಅಕ್ಷರದಿಂದಾಗುತ್ತದೆಯೋ || te: ఏదైనా పదం అంతంలో ఫ అక్షరం వచ్చేటటువంటి,form_similar,false_friend,,Dhanya,,
B000019,ಟೂರ್ನಮೆಂಟ್,-టోర్నమెంటు,ṭūrnameṁṭ,-ṭōrnameṁṭu,Game competitions are held in rank or order,A series of games between many competitors.,kn: ಆಟದ ಸ್ಪರ್ಧೆಗಳು ಶ್ರೇಣಿಯಲ್ಲಿ ಅಥವಾ ಕ್ರಮದಲ್ಲಿ ನಡೆಯುತ್ತವೆ || te: అనేక మంది పోటిదారుల మధ్య జరిగే ఆటల పోటి.,shared_synset,cognate,other_borrowing,Dhanya,,
B000020,ಅಂತರ್ಧಾನ,అంతర్ధానం,aṁtardhāna,aṁtardhānaṁ,One does not rise above the fixed or ideological mediocrity within a class or society,disappearing,kn: ಯಾವುದಾದರು ವರ್ಗ ಅಥವಾ ಸಮಾಜದ ಒಳಗಿಂದೊಳಗಿರುವ ನಿಶ್ಚಿತವಿಚಾರ ಅಥವಾ ವಿಚಾರ ಸಾಧಾರಣತೆಗಿಂತ ಎತ್ತರಕ್ಕೆ ಹೋಗುವುದಿಲ್ಲ || te: కనిపించకుండా పోవడం,form_similar,false_friend,,Dhanya,,
B000021,ಕಂಠ-ತಾಲವ್ಯ,కంఠతాలవ్యం,kaṁṭha-tālavya,kaṁṭhatālavyaṁ,Something like making the pronunciation of a letter with the throat and palate,Pronounced from the throat,kn: ಯಾವುದೋ ಒಂದು ಅಕ್ಷರದ ಉಚ್ಚಾರಣೆಯನ್ನು ಕಂಠ ಮತ್ತು ತಾಲವ್ಯದಿಂದ ಮಾಡುವಂತಹ || te: గొంతు నుండి ఉచ్చరించేవి,shared_synset,cognate,sanskrit,Dhanya,,
B000022,ಜರುಗಿಸು,త్రోయు,jarugisu,trōyu,Make something move,To make someone go aside,kn: ಯಾವದನ್ನಾದರೂ ಸರಿಸುವಂತೆ ಮಾಡು || te: ఎవరినైన పక్కకు వెళ్ళునట్లు చేయుట,shared_synset,unrelated,,Dhanya,,
B000023,ಬುಡದ,బుడగ,buḍada,buḍaga,Of or relating to the bottom,A spherical bubble of water filled with air,kn: ತಳದ ಅಥವಾ ಕೆಳಭಾಗಕ್ಕೆ ಸಂಬಂಧವನ್ನು ಹೊಂದಿರುವಂತಹ || te: గోళాకృతిలో ఉండి లోపల గాలితో నిండి ఉన్న నీటి బుడ్డ,form_similar,false_friend,,Dhanya,,
B000024,ಕುಲಾವಿ,మంకీక్యాప్,kulāvi,maṁkīkyāp,A kind of cap comes up to the head and two ears,Toe pee worn on the head and ears together,"kn: ಒಂದು ತರಹದ ಟೋಪಿ ತಲೆ ಮತ್ತು  ಎರಡು ಕಿವಿಯ ವರೆಗೂ ಬರುವುದು || te: తల, చెవులకు కలిసి వేసుకునే టో పీ",shared_synset,unrelated,,Dhanya,,
B000025,ಜಾಣ್ಮೆಯಿಲ್ಲದ,తెగులు,jāṇmeyillada,tegulu,Lacking tact or ingenuity,The body suffers from many conditions,,random,unrelated,,Dhanya,,
B000026,ನಿರ್ದಯ,నిర్ధయి,nirdaya,nirdhayi,The state or feeling of being ruthless,"A sense of kindness, compassion, love.","kn: ನಿರ್ದಯಿ ಆಗುವ ಅವಸ್ಥೆ ಅಥವಾ ಭಾವನೆ || te: దయ, కనికరం, ప్రేమ లేని భావన.",shared_synset,cognate,sanskrit,Dhanya,,
B000027,ಗೌಪ್ಯ-ದಾನ,మరుగుదానం,gaupya-dāna,marugudānaṁ,Charity in hidden form,Donation done without anyone's knowledge/Donation done by the right hand is unknown to the left hand,kn: ಗುಪ್ತವಾದ ರೂಪದಲ್ಲಿ ಮಾಡುವಂತಹ ದಾನ || te: ఎవరికీ తెలియకుండా చేసే దానం/కుడి చెయ్యి చేసే దానం ఎడమచేతికి తెలియనియ్యకపోవడం,shared_synset,unrelated,,Dhanya,,
B000028,ಪುಷ್ಪಗುಚ್ಛ,పుష్పగుచ్ఛం,puṣpaguccha,puṣpagucchaṁ,Anjali or bunch full of flowers is offered to gods or great persons,A bouquet tied with thread to hold the flowers with few stems close.,kn: ಹೂಗಳಿಂದ ತುಂಬಿರುವಂತಹ ಅಂಜಲಿ ಅಥವಾ ಗುಚ್ಛ ಅದನ್ನು ದೇವರು ಅಥವಾ ಮಹಾನ್ ವ್ಯಕ್ತಿಗಳಿಗೆ ಅರ್ಪಿಸಲಾಗುತ್ತದೆ || te: కొన్ని కాడలున్న పువ్వుల్ని దగ్గరచేర్చి పట్టుకోవడానికి వీలుగా దారంతో కట్టిన గుచ్ఛం.,form_similar,cognate,sanskrit,Dhanya,,
B000029,ಕರುಣ,కరుణ,karuṇa,karuṇa,The act of showing pity or kindness,A sense of empathy for others,kn: ಅನುಕಂಪ ಅಥವಾ ದಯೆಯನ್ನು ತೋರುವ ಕ್ರಿಯೆ || te: ఇతరుల పట్ల సానుభూతి కలిగి ఉండే భావన,form_similar,cognate,sanskrit,Dhanya,,
B000030,ಸಿಗರೇಟ್,సిగరెట్,sigarēṭ,sigareṭ,"A roll of paper is filled with tobacco powder to facilitate smoking, and the smoke is smoked","A tobacco-filled object made of paper, the smoke of which is smoked by all.","kn: ಸೇದಲು ಅನುಕೂಲವಾಗುವಂತೆ ಕಾಗದದ ಸುರುಳಿಯಲ್ಲಿ ಸುತ್ತಿದ ತಂಬಾಕಿನ ಪುಡಿ ತುಂಬಿದ್ದು, ಮತ್ತು ಅದರ ಹೊಗೆಯನ್ನು ಕುಡಿಯುತ್ತಾರೆ || te: కాగితముతో తయారైన పొగాకుతో నిండిన వస్తువు దీని పొగను అందరు తాగుతారు.",shared_synset,cognate,other_borrowing,Dhanya,,
B000031,ವಿಶೇಷಣಯುಕ್ತವಾದ,విశేషణాయుక్తమైన,viśēṣaṇayuktavāda,viśēṣaṇāyuktamaina,Some are adjectives,Being different in everything,kn: ಯಾವುದಾದರು ವಿಶೇಷಣದಿಂದ ಕೂಡಿರುವಂತಹ || te: అన్నింటిలోనూ వేరుగా కనిపించడం,shared_synset,cognate,sanskrit,Dhanya,,
B000032,ಅಪ್ರಸಿದ್ದ,అప్రసిద్ధం,aprasidda,aprasiddhaṁ,A state of not being famous or not being recognized despite having real talent power,Lack of importance.,kn: ಪ್ರಸಿದ್ಧಿಗೆ ಬಾರದೇ ಇರುವ ಸ್ಥಿತಿ ಅಥವಾ ನಿಜವಾದ ಪ್ರತಿಭೆ ಶಕ್ತಿ ಇದ್ದರೂ ಗುರುತಿಸುವಿಕೆ ಇಲ್ಲದಿರುವುದು || te: ప్రాముఖ్యత లేకపోవటం.,shared_synset,cognate,sanskrit,Dhanya,,
B000033,ವಾಮಪಂಥಿ,వామపక్షం,vāmapaṁthi,vāmapakṣaṁ,The doctrine of those who express too much anger at any subject,Being on the side of terrorists,kn: ಯಾವುದೇ ವಿಷಯವಾದರು ತುಂಬಾ ಕೋಪ ವ್ಯಕ್ತಪಡಿಸುವವರ ಸಿದ್ಧಾಂತ || te: ఉగ్రవాదులవైపు వుండటం,shared_synset,false_friend,,Dhanya,,
B000034,ಕರಾರುವಕ್ಕಾದ,ద్వీపసంబంధమైన,karāruvakkāda,dvīpasaṁbaṁdhamaina,"Who has harshness, harshness, anger, talkativeness etc. instead of soft, sweet, sweet etc. or someone's tendency is not soft.",Belonging to the island,,random,unrelated,,Dhanya,,
B000035,ಸ್ತ್ರೀ,స్త్రీ,strī,strī,female caste,Animals of the female race.,kn: ಹೆಣ್ಣು ಜಾತಿ || te: ఆడ జాతికి సంబంధించిన ప్రాణులు.,shared_synset,cognate,sanskrit,Dhanya,,
B000036,ವಿಜಯಿ,విజయదుర్గ,vijayi,vijayadurga,A goddess killed many demons and is believed to be Adishakti,A deity with a lion as his vehicle,kn: ಒಬ್ಬ ದೇವತೆಯು ಅನೇಕ ರಾಕ್ಷಸರನ್ನು ಸಂಹರಿಸಿದಳು ಮತ್ತು ಅವಳನ್ನು ಆದಿಶಕ್ತಿ ಎಂದು ನಂಬಲಾಗುತ್ತದೆ || te: సింహాన్ని వాహనంగా కలిగిన దేవత,shared_synset,cognate,sanskrit,Dhanya,,
B000037,ಸ್ವ-ಜಾತೀಯ,సజాతీయ,sva-jātīya,sajātīya,Belonging to the same caste or class,of the same race.,kn: ಒಂದೇ ಜಾತಿಗೆ ಅಥವಾ ವರ್ಗಕ್ಕೆ ಸೇರಿದ್ದು || te: ఒకే జాతికి చెందిన.,shared_synset,cognate,sanskrit,Dhanya,,
B000038,ಜಾಟ್,స్మరణ,jāṭ,smaraṇa,A caste that makes a living by killing animals and birds,The knowledge of remembering.,,random,unrelated,,Dhanya,,
B000039,ಸುಲಭವಾಗಿ,సులభము,sulabhavāgi,sulabhamu,The state or feeling of being easy,Being easy.,kn: ಸುಲಭವಾಗುವಂತಹ ಸ್ಥಿತಿ ಅಥವಾ ಭಾವ || te: తేలికగా ఉండటం.,shared_synset,cognate,inherited,Dhanya,,
B000040,ಧನಸ್ಸು-ರಾಶಿ,ధనూరాశి,dhanassu-rāśi,dhanūrāśi,Ninth Rashi in Jyotishchakra with horse body female face female figure holding bow,Ninth of the signs and the sign bearing the arrow.,kn: ಜ್ಯೋತಿಷ್ಚಕ್ರದಲ್ಲಿ ಕುದುರೆ ದೇಹ ಹೆಣ್ಣಿನ ಮುಖವಿರುವ ಹೆಣ್ಣು ಬಿಲ್ಲು ಹಿಡಿದಿರುವ ಚಿತ್ರವಿರುವ ಒಂಬತ್ತನೇ ರಾಶಿ || te: రాశులలో తొమ్మిదవది మరియు బాణము బొమ్మ కలిగిన రాశి.,shared_synset,cognate,sanskrit,Dhanya,,
B000041,ಕಸರತ್ತು,కసరత్తు,kasarattu,kasarattu,Physical exertion done with the intention of increasing strength/power,Work done to make body structure stronger,kn: ಬಲ/ಶಕ್ತಿಯನ್ನು ಹೆಚ್ಚಿಸಿಕೊಳ್ಳುವ ಉದ್ದೇಶದಿಂದ ಮಾಡುವಂತಹ ಶಾರೀರಿಕವಾದ ಶ್ರಮ || te: శరీర నిర్మాణం భలిష్టంగా తయారవ్వడానికి చేసే పని,shared_synset,cognate,inherited,Dhanya,,
B000042,ಚರಣಾಮೃತ,చరణామృతం,caraṇāmr̥ta,caraṇāmr̥taṁ,The water that washed the feet of the venerable persons,"It is made with milk, curd, ghee, banana etc","kn: ಪೂಜ್ಯ ವ್ಯಕ್ತಿಗಳ ಚರಣವನ್ನು ತೊಳೆದ ನೀರು || te: పాలు, పెరుగు, నెయ్యు, అరటిపండు మొదలగువాటితో నైవేద్యానికి చేసేది",form_similar,false_friend,,Dhanya,,
B000043,ಮಂಗಳದಾಯಕವಾದಂತ,శుభకరమైన,maṁgaḷadāyakavādaṁta,śubhakaramaina,Like doing welfare works,do good,kn: ಕಲ್ಯಾಣಕೆಲಸಗಳನ್ನು ಮಾಡವಂತಹ || te: మంచి చెయు.,shared_synset,unrelated,,Dhanya,,
B000044,ಭಿಕ್ಷೆ,భిక్ష,bhikṣe,bhikṣa,The act of humbly asking for something,Asking for something mean,kn: ಧೈನ್ಯದಿಂದ ಏನನ್ನಾದರೂ ಕೇಳುವ ಕ್ರಿಯೆ || te: దీనంగా ఏదైనా అడగడం,shared_synset,false_friend,,Dhanya,,
B000045,ಯುದ್ಧಗ್ರಸ್ತವಾದಂತಹ,యుద్ధగ్రస్తమైన,yuddhagrastavādaṁtaha,yuddhagrastamaina,Which is haunted by war,A fight between two countries,kn: ಯಾವುದು ಯುದ್ಧದಿಂದ ಕಾಡಲ್ಪಟ್ಟಿದೆಯೋ || te: రెండు దేశాల మధ్య పోరాటం సంభవించడం,shared_synset,false_friend,,Dhanya,,
B000046,ರೇಷ್ಮೆಯಂತ,నిగనిగలాడెడు,rēṣmeyaṁta,niganigalāḍeḍu,Silky smooth and shiny,Silky smooth and soft.,kn: ರೇಷ್ಮೆಯಂತೆ ಮೃದುವಾದ ಹಾಗೂ ಹೊಳೆಯುವ || te: పట్టులా నున్నగా మరియు మృదువుగా ఉండునది.,shared_synset,unrelated,,Dhanya,,
B000047,ಪಾಷಾಣ,పాషాణం,pāṣāṇa,pāṣāṇaṁ,"It is caused by the coalescence of hard shot or stone powder, sand etc. on earth",One type of sub-mineral is extremely toxic,"kn: ಭೂಮಿಯ ಮೇಲೆ ಕಠೋರ ಗುಂಡು ಅಥವಾ ಕಲ್ಲಿನ ಪುಡಿ, ಮರಳು ಇತ್ಯಾದಿಗಳು ಒಂದುಗೂಡವುದರಿಂದ ಆಗುವುದು || te: ఒక రకమైన ఉపధాతువు చాలా తీవ్రమైన విషంకలిగినది",form_similar,false_friend,,Dhanya,,
B000048,ತಂಗುವ-ಸ್ಥಳ,శిబిరం,taṁguva-sthaḷa,śibiraṁ,Place where the camp is held,-A place to temporarily spend a few days with a tent.,kn: ಶಿಬಿರವನ್ನು ನಡೆಸುವ ಸ್ಥಳ || te: -టెంటు వేసుకొని తాత్కాలికంగా కొద్ది రోజులు గడిపే స్థలం.,shared_synset,unrelated,,Dhanya,,
B000049,ವ್ಯವಸ್ಥಿತವಾದಂತಹ,అమర్చబడిన,vyavasthitavādaṁtaha,amarcabaḍina,Which is arranged,Prepare to be.,kn: ಯಾವುದನ್ನು ವ್ಯವಸ್ಥೆ ಮಾಡಲಾಗಿದೆಯೋ || te: కావాలని సిద్ధం చేసుకోవడం.,shared_synset,unrelated,,Dhanya,,
B000050,ಗಣನೆ,నూరటం,gaṇane,nūraṭaṁ,"A suspicion or notion of merit, excellence, or quality of any kind according to a certain or fixed consensus or measurement.",to dry,,random,unrelated,,Dhanya,,
B000051,ಸನಿಹ,దగ్గరలో,saniha,daggaralō,A way of indicating a gap between any physical object and a conceptual object,Staying short,kn: ಯಾವುದೇ ಭೌತಿಕ ವಸ್ತು ಮತ್ತು ಪರಿಕಲ್ಪನಾತ್ಮಕ ವಸ್ತುಗಳ ನಡುವಿನ ಅಂತರ ಕಮ್ಮಿಯಿರುವುದನ್ನು ಸೂಚಿಸುವ ರೀತಿ || te: తక్కువ దూరంలో ఉండడం,shared_synset,unrelated,,Dhanya,,
B000052,ಕೊಯ್ಯು,కోయు,koyyu,kōyu,Something that separates a part from its parent material,Detach a small part of the original object.,kn: ಯಾವುದಾದರು ಅಂಗವನ್ನು ಮೂಲ ವಸ್ತುವಿನಿಂದ ಬೇರೆ ಮಾಡುವುದು || te: మూల వస్తువు యొక్క చిన్నభాగాన్ని వేరు పరచుట.,shared_synset,false_friend,,Dhanya,,
B000053,ದುರ್ಗೆ,సింహవాహిని,durge,siṁhavāhini,A goddess killed many demons and is believed to be Adishakti,A deity with a lion as his vehicle,kn: ಒಬ್ಬ ದೇವತೆಯು ಅನೇಕ ರಾಕ್ಷಸರನ್ನು ಸಂಹರಿಸಿದಳು ಮತ್ತು ಅವಳನ್ನು ಆದಿಶಕ್ತಿ ಎಂದು ನಂಬಲಾಗುತ್ತದೆ || te: సింహాన్ని వాహనంగా కలిగిన దేవత,shared_synset,unrelated,,Dhanya,,
B000054,ಹಿಂದಿರುಗಿಸುವುದಿಲ್ಲ,సుందరుడు,hiṁdirugisuvudilla,suṁdaruḍu,A partial or full refund of what was paid,He is very beautiful,,random,unrelated,,Dhanya,,
B000055,ಮಾಳಿಗೆ,మాళిగ,māḷige,māḷiga,Water leaking from room or ceiling,"It was built to protect from sun, rain and cold","kn: ಕೋಣೆ ಅಥವಾ ಚಾವಣಿಯಿಂದ ಹೊರಬರುತ್ತಿರುವ ನೀರು || te: ఎండ, వాన, చలి నుంచి కాపాడుకోవాడానికి నిర్మించుకునేది",form_similar,cognate,inherited,Dhanya,,
B000056,ಕನ್ಯರಾಶಿ,కన్యారాశి,kanyarāśi,kanyārāśi,A sign representing a young woman in the horoscope,Sixth of the signs.,kn: ಜ್ಯೋತಿಷ್ಚಕ್ರದಲ್ಲಿ ಯೌವನದ ಹೆಣ್ಣನ್ನು ಚಿತ್ರವಾಗುಳ್ಳ ರಾಶಿ || te: రాశులలో ఆరవది.,shared_synset,cognate,,Dhanya,,
B000057,ನಪುಂಸಕತೆ,నపుంసకత్వము,napuṁsakate,napuṁsakatvamu,The state or feeling of being eunuch,Neither masculine nor feminine,kn: ನಪುಂಸಕನಾಗುವ ಅವಸ್ಥೆ ಅಥವಾ ಭಾವ || te: పురుష లేక స్త్రీ కాని భావము,shared_synset,cognate,sanskrit,Dhanya,,
B000058,ಪೌರಾಣಿಕ,-పౌరాణికం,paurāṇika,-paurāṇikaṁ,A collection of myths or its stories that includes something like a culture,"- Stories related to ancient times and culture, which have five characteristics.","kn: ಪುರಾಣಗಳ ಸಮೂಹ ಅಥವಾ ಅದರ ಕಥೆಗಳು ಯಾವುದಾದರು ಸಂಸ್ಕೃತಿ ಮೊದಲಾದವುಗಳನ್ನು ಒಳಗೊಂಡಿರುತ್ತದೆ || te: -ప్రాచీన కాలానికి, సంస్కృతికి  సంబంధించిన కథలు,వీటికి పంచలక్షణాలుంటాయి.",shared_synset,cognate,sanskrit,Dhanya,,
B000059,ಒರಲು,రోలు,oralu,rōlu,"A deep vessel of wood, wood or stone in which grain is pounded with a sieve",Want to gnaw on any leaf etc,"kn: ಕಟ್ಟಿಗೆ, ಮರದ ಅಥವಾ ಕಲ್ಲಿನ ಆಳವಾದ ಪಾತ್ರೆ ಅದರಲ್ಲಿ ಧಾನ್ಯ ಮೊದಲಾದವುಗಳನ್ನು ಒನಕೆಯಿಂದ ಕುಟ್ಟುತ್ತಾರೆ || te: ఏదైనా ఆకును మొదలగు వాటిని దంచడానికి కావలసినది",shared_synset,false_friend,,Dhanya,,
B000060,ಅಶರೀರವಾಣಿ,అశరీరవాక్కు,aśarīravāṇi,aśarīravākku,The words are believed to be spoken by God and heard through the sky,Speaking without form,kn: ಆ ಮಾತು ಈಶ್ವರನ ಕಡೆಯಿಂದ ಹೇಳಿರುವಂತಹದ್ದು ಮತ್ತು ಆಕಾಶ ಮಾರ್ಗವಾಗಿ ಕೇಳಿಬರುವಂತಹದ್ದು ಎಂದು ನಂಬಲಾಗುತ್ತದೆ || te: రూపం లేకుండా మాట్లాడటం,shared_synset,cognate,inherited,Dhanya,,
B000061,ಆಸ್ಟ್ರಿಯಾ,ఆస్ట్రియా,āsṭriyā,āsṭriyā,Of or relating to Austria,A mountainous country of Central Europe.,kn: ಆಸ್ಟ್ರಿಯಾದ ಅಥವಾ ಆಸ್ಟ್ರಿಯಾಗೆ ಸಂಬಂಧಿಸಿದ || te: మధ్య ఐరోపా యొక్క ఒక పర్వత దేశం.,form_similar,cognate,other_borrowing,Dhanya,,
B000062,ಅಂಬ,ధాత్రి,aṁba,dhātri,Born female,The woman who gives birth to us,kn: ಜನ್ಮ ಪಡೆದ ಸ್ತ್ರೀ || te: మనకు జన్మనించే స్త్రీ,shared_synset,unrelated,,Dhanya,,
B000063,ಅಮಾನವೀಯವಾದಂತಹ,ఫోటో,amānavīyavādaṁtaha,phōṭō,"That which does not have a proper, regular or systematic reason is unreliable or untrustworthy",A picture taken by a camera machine,,random,unrelated,,Dhanya,,
