pair_id,kn_word,te_word,kn_iso,te_iso,synset_id,gloss,candidate_source,label,origin,annotator,notes,en_kn,en_te,needs_gloss
B000017,ಧರ್ಮಶಾಸ್ತ್ರಿ,ధర్మశాస్త్రి,dharmaśāstri,dharmaśāstri,,kn: ಯಾರಿಗೆ ಧರ್ಮದ ಬಗೆಗೆ ಚೆನ್ನಾಗಿ ತಿಳಿದಿರುತ್ತದೆಯೋ || te: ధర్మ గ్రంధాలు తెలిసిన వ్యక్తి,form_similar,,,,,Who knows well about religion,A person who knows the scriptures,false
B000018,ಪಕಾರಾಂತ,ఫకారాంత,pakārāṁta,phakārāṁta,,kn: ಯಾವುದರ ಅಂತ್ಯ ಪ ಅಕ್ಷರದಿಂದಾಗುತ್ತದೆಯೋ || te: ఏదైనా పదం అంతంలో ఫ అక్షరం వచ్చేటటువంటి,form_similar,,,,,Which ends with the letter p,As the letter f comes at the end of any word,false
B000019,ಟೂರ್ನಮೆಂಟ್,-టోర్నమెంటు,ṭūrnameṁṭ,-ṭōrnameṁṭu,27032,kn: ಆಟದ ಸ್ಪರ್ಧೆಗಳು ಶ್ರೇಣಿಯಲ್ಲಿ ಅಥವಾ ಕ್ರಮದಲ್ಲಿ ನಡೆಯುತ್ತವೆ || te: అనేక మంది పోటిదారుల మధ్య జరిగే ఆటల పోటి.,shared_synset,,,,,Game competitions are held in rank or order,A series of games between many competitors.,false
B000020,ಅಂತರ್ಧಾನ,అంతర్ధానం,aṁtardhāna,aṁtardhānaṁ,,kn: ಯಾವುದಾದರು ವರ್ಗ ಅಥವಾ ಸಮಾಜದ ಒಳಗಿಂದೊಳಗಿರುವ ನಿಶ್ಚಿತವಿಚಾರ ಅಥವಾ ವಿಚಾರ ಸಾಧಾರಣತೆಗಿಂತ ಎತ್ತರಕ್ಕೆ ಹೋಗುವುದಿಲ್ಲ || te: కనిపించకుండా పోవడం,form_similar,,,,,One does not rise above the fixed or ideological mediocrity within a class or society,disappearing,false
B000021,ಕಂಠ-ತಾಲವ್ಯ,కంఠతాలవ్యం,kaṁṭha-tālavya,kaṁṭhatālavyaṁ,16862,kn: ಯಾವುದೋ ಒಂದು ಅಕ್ಷರದ ಉಚ್ಚಾರಣೆಯನ್ನು ಕಂಠ ಮತ್ತು ತಾಲವ್ಯದಿಂದ ಮಾಡುವಂತಹ || te: గొంతు నుండి ఉచ్చరించేవి,shared_synset,,,,,Something like making the pronunciation of a letter with the throat and palate,Pronounced from the throat,false
B000022,ಜರುಗಿಸು,త్రోయు,jarugisu,trōyu,10188,kn: ಯಾವದನ್ನಾದರೂ ಸರಿಸುವಂತೆ ಮಾಡು || te: ఎవరినైన పక్కకు వెళ్ళునట్లు చేయుట,shared_synset,,,,,Make something move,To make someone go aside,false
B000023,ಬುಡದ,బుడగ,buḍada,buḍaga,,kn: ತಳದ ಅಥವಾ ಕೆಳಭಾಗಕ್ಕೆ ಸಂಬಂಧವನ್ನು ಹೊಂದಿರುವಂತಹ || te: గోళాకృతిలో ఉండి లోపల గాలితో నిండి ఉన్న నీటి బుడ్డ,form_similar,,,,,Of or relating to the bottom,A spherical bubble of water filled with air,false
B000024,ಕುಲಾವಿ,మంకీక్యాప్,kulāvi,maṁkīkyāp,7439,"kn: ಒಂದು ತರಹದ ಟೋಪಿ ತಲೆ ಮತ್ತು  ಎರಡು ಕಿವಿಯ ವರೆಗೂ ಬರುವುದು || te: తల, చెవులకు కలిసి వేసుకునే టో పీ",shared_synset,,,,,A kind of cap comes up to the head and two ears,Toe pee worn on the head and ears together,false
B000025,ಜಾಣ್ಮೆಯಿಲ್ಲದ,తెగులు,jāṇmeyillada,tegulu,,,random,,,,,Lacking tact or ingenuity,The body suffers from many conditions,false
B000026,ನಿರ್ದಯ,నిర్ధయి,nirdaya,nirdhayi,2638,"kn: ನಿರ್ದಯಿ ಆಗುವ ಅವಸ್ಥೆ ಅಥವಾ ಭಾವನೆ || te: దయ, కనికరం, ప్రేమ లేని భావన.",shared_synset,,,,,The state or feeling of being ruthless,"A sense of kindness, compassion, love.",false
B000027,ಗೌಪ್ಯ-ದಾನ,మరుగుదానం,gaupya-dāna,marugudānaṁ,116,kn: ಗುಪ್ತವಾದ ರೂಪದಲ್ಲಿ ಮಾಡುವಂತಹ ದಾನ || te: ఎవరికీ తెలియకుండా చేసే దానం/కుడి చెయ్యి చేసే దానం ఎడమచేతికి తెలియనియ్యకపోవడం,shared_synset,,,,,Charity in hidden form,Donation done without anyone's knowledge/Donation done by the right hand is unknown to the left hand,false
B000028,ಪುಷ್ಪಗುಚ್ಛ,పుష్పగుచ్ఛం,puṣpaguccha,puṣpagucchaṁ,,kn: ಹೂಗಳಿಂದ ತುಂಬಿರುವಂತಹ ಅಂಜಲಿ ಅಥವಾ ಗುಚ್ಛ ಅದನ್ನು ದೇವರು ಅಥವಾ ಮಹಾನ್ ವ್ಯಕ್ತಿಗಳಿಗೆ ಅರ್ಪಿಸಲಾಗುತ್ತದೆ || te: కొన్ని కాడలున్న పువ్వుల్ని దగ్గరచేర్చి పట్టుకోవడానికి వీలుగా దారంతో కట్టిన గుచ్ఛం.,form_similar,,,,,Anjali or bunch full of flowers is offered to gods or great persons,A bouquet tied with thread to hold the flowers with few stems close.,false
B000029,ಕರುಣ,కరుణ,karuṇa,karuṇa,,kn: ಅನುಕಂಪ ಅಥವಾ ದಯೆಯನ್ನು ತೋರುವ ಕ್ರಿಯೆ || te: ఇతరుల పట్ల సానుభూతి కలిగి ఉండే భావన,form_similar,,,,,The act of showing pity or kindness,A sense of empathy for others,false
B000030,ಸಿಗರೇಟ್,సిగరెట్,sigarēṭ,sigareṭ,7681,"kn: ಸೇದಲು ಅನುಕೂಲವಾಗುವಂತೆ ಕಾಗದದ ಸುರುಳಿಯಲ್ಲಿ ಸುತ್ತಿದ ತಂಬಾಕಿನ ಪುಡಿ ತುಂಬಿದ್ದು, ಮತ್ತು ಅದರ ಹೊಗೆಯನ್ನು ಕುಡಿಯುತ್ತಾರೆ || te: కాగితముతో తయారైన పొగాకుతో నిండిన వస్తువు దీని పొగను అందరు తాగుతారు.",shared_synset,,,,,"A roll of paper is filled with tobacco powder to facilitate smoking, and the smoke is smoked","A tobacco-filled object made of paper, the smoke of which is smoked by all.",false
B000031,ವಿಶೇಷಣಯುಕ್ತವಾದ,విశేషణాయుక్తమైన,viśēṣaṇayuktavāda,viśēṣaṇāyuktamaina,31446,kn: ಯಾವುದಾದರು ವಿಶೇಷಣದಿಂದ ಕೂಡಿರುವಂತಹ || te: అన్నింటిలోనూ వేరుగా కనిపించడం,shared_synset,,,,,Some are adjectives,Being different in everything,false
B000032,ಅಪ್ರಸಿದ್ದ,అప్రసిద్ధం,aprasidda,aprasiddhaṁ,2266,kn: ಪ್ರಸಿದ್ಧಿಗೆ ಬಾರದೇ ಇರುವ ಸ್ಥಿತಿ ಅಥವಾ ನಿಜವಾದ ಪ್ರತಿಭೆ ಶಕ್ತಿ ಇದ್ದರೂ ಗುರುತಿಸುವಿಕೆ ಇಲ್ಲದಿರುವುದು || te: ప్రాముఖ్యత లేకపోవటం.,shared_synset,,,,,A state of not being famous or not being recognized despite having real talent power,Lack of importance.,false
B000033,ವಾಮಪಂಥಿ,వామపక్షం,vāmapaṁthi,vāmapakṣaṁ,10475,kn: ಯಾವುದೇ ವಿಷಯವಾದರು ತುಂಬಾ ಕೋಪ ವ್ಯಕ್ತಪಡಿಸುವವರ ಸಿದ್ಧಾಂತ || te: ఉగ్రవాదులవైపు వుండటం,shared_synset,,,,,The doctrine of those who express too much anger at any subject,Being on the side of terrorists,false
B000034,ಕರಾರುವಕ್ಕಾದ,ద్వీపసంబంధమైన,karāruvakkāda,dvīpasaṁbaṁdhamaina,,,random,,,,,"Who has harshness, harshness, anger, talkativeness etc. instead of soft, sweet, sweet etc. or someone's tendency is not soft.",Belonging to the island,false
B000035,ಸ್ತ್ರೀ,స్త్రీ,strī,strī,13880,kn: ಹೆಣ್ಣು ಜಾತಿ || te: ఆడ జాతికి సంబంధించిన ప్రాణులు.,shared_synset,,,,,female caste,Animals of the female race.,false
B000036,ವಿಜಯಿ,విజయదుర్గ,vijayi,vijayadurga,4404,kn: ಒಬ್ಬ ದೇವತೆಯು ಅನೇಕ ರಾಕ್ಷಸರನ್ನು ಸಂಹರಿಸಿದಳು ಮತ್ತು ಅವಳನ್ನು ಆದಿಶಕ್ತಿ ಎಂದು ನಂಬಲಾಗುತ್ತದೆ || te: సింహాన్ని వాహనంగా కలిగిన దేవత,shared_synset,,,,,A goddess killed many demons and is believed to be Adishakti,A deity with a lion as his vehicle,false
B000037,ಸ್ವ-ಜಾತೀಯ,సజాతీయ,sva-jātīya,sajātīya,192,kn: ಒಂದೇ ಜಾತಿಗೆ ಅಥವಾ ವರ್ಗಕ್ಕೆ ಸೇರಿದ್ದು || te: ఒకే జాతికి చెందిన.,shared_synset,,,,,Belonging to the same caste or class,of the same race.,false
B000038,ಜಾಟ್,స్మరణ,jāṭ,smaraṇa,,,random,,,,,A caste that makes a living by killing animals and birds,The knowledge of remembering.,false
B000039,ಸುಲಭವಾಗಿ,సులభము,sulabhavāgi,sulabhamu,3695,kn: ಸುಲಭವಾಗುವಂತಹ ಸ್ಥಿತಿ ಅಥವಾ ಭಾವ || te: తేలికగా ఉండటం.,shared_synset,,,,,The state or feeling of being easy,Being easy.,false
B000040,ಧನಸ್ಸು-ರಾಶಿ,ధనూరాశి,dhanassu-rāśi,dhanūrāśi,355,kn: ಜ್ಯೋತಿಷ್ಚಕ್ರದಲ್ಲಿ ಕುದುರೆ ದೇಹ ಹೆಣ್ಣಿನ ಮುಖವಿರುವ ಹೆಣ್ಣು ಬಿಲ್ಲು ಹಿಡಿದಿರುವ ಚಿತ್ರವಿರುವ ಒಂಬತ್ತನೇ ರಾಶಿ || te: రాశులలో తొమ్మిదవది మరియు బాణము బొమ్మ కలిగిన రాశి.,shared_synset,,,,,Ninth Rashi in Jyotishchakra with horse body female face female figure holding bow,Ninth of the signs and the sign bearing the arrow.,false
B000041,ಕಸರತ್ತು,కసరత్తు,kasarattu,kasarattu,5939,kn: ಬಲ/ಶಕ್ತಿಯನ್ನು ಹೆಚ್ಚಿಸಿಕೊಳ್ಳುವ ಉದ್ದೇಶದಿಂದ ಮಾಡುವಂತಹ ಶಾರೀರಿಕವಾದ ಶ್ರಮ || te: శరీర నిర్మాణం భలిష్టంగా తయారవ్వడానికి చేసే పని,shared_synset,,,,,Physical exertion done with the intention of increasing strength/power,Work done to make body structure stronger,false
B000042,ಚರಣಾಮೃತ,చరణామృతం,caraṇāmr̥ta,caraṇāmr̥taṁ,,"kn: ಪೂಜ್ಯ ವ್ಯಕ್ತಿಗಳ ಚರಣವನ್ನು ತೊಳೆದ ನೀರು || te: పాలు, పెరుగు, నెయ్యు, అరటిపండు మొదలగువాటితో నైవేద్యానికి చేసేది",form_similar,,,,,The water that washed the feet of the venerable persons,"It is made with milk, curd, ghee, banana etc",false
B000043,ಮಂಗಳದಾಯಕವಾದಂತ,శుభకరమైన,maṁgaḷadāyakavādaṁta,śubhakaramaina,2453,kn: ಕಲ್ಯಾಣಕೆಲಸಗಳನ್ನು ಮಾಡವಂತಹ || te: మంచి చెయు.,shared_synset,,,,,Like doing welfare works,do good,false
B000044,ಭಿಕ್ಷೆ,భిక్ష,bhikṣe,bhikṣa,28959,kn: ಧೈನ್ಯದಿಂದ ಏನನ್ನಾದರೂ ಕೇಳುವ ಕ್ರಿಯೆ || te: దీనంగా ఏదైనా అడగడం,shared_synset,,,,,The act of humbly asking for something,Asking for something mean,false
B000045,ಯುದ್ಧಗ್ರಸ್ತವಾದಂತಹ,యుద్ధగ్రస్తమైన,yuddhagrastavādaṁtaha,yuddhagrastamaina,35413,kn: ಯಾವುದು ಯುದ್ಧದಿಂದ ಕಾಡಲ್ಪಟ್ಟಿದೆಯೋ || te: రెండు దేశాల మధ్య పోరాటం సంభవించడం,shared_synset,,,,,Which is haunted by war,A fight between two countries,false
B000046,ರೇಷ್ಮೆಯಂತ,నిగనిగలాడెడు,rēṣmeyaṁta,niganigalāḍeḍu,6650,kn: ರೇಷ್ಮೆಯಂತೆ ಮೃದುವಾದ ಹಾಗೂ ಹೊಳೆಯುವ || te: పట్టులా నున్నగా మరియు మృదువుగా ఉండునది.,shared_synset,,,,,Silky smooth and shiny,Silky smooth and soft.,false
B000047,ಪಾಷಾಣ,పాషాణం,pāṣāṇa,pāṣāṇaṁ,,"kn: ಭೂಮಿಯ ಮೇಲೆ ಕಠೋರ ಗುಂಡು ಅಥವಾ ಕಲ್ಲಿನ ಪುಡಿ, ಮರಳು ಇತ್ಯಾದಿಗಳು ಒಂದುಗೂಡವುದರಿಂದ ಆಗುವುದು || te: ఒక రకమైన ఉపధాతువు చాలా తీవ్రమైన విషంకలిగినది",form_similar,,,,,"It is caused by the coalescence of hard shot or stone powder, sand etc. on earth",One type of sub-mineral is extremely toxic,false
B000048,ತಂಗುವ-ಸ್ಥಳ,శిబిరం,taṁguva-sthaḷa,śibiraṁ,27088,kn: ಶಿಬಿರವನ್ನು ನಡೆಸುವ ಸ್ಥಳ || te: -టెంటు వేసుకొని తాత్కాలికంగా కొద్ది రోజులు గడిపే స్థలం.,shared_synset,,,,,Place where the camp is held,-A place to temporarily spend a few days with a tent.,false
B000049,ವ್ಯವಸ್ಥಿತವಾದಂತಹ,అమర్చబడిన,vyavasthitavādaṁtaha,amarcabaḍina,15864,kn: ಯಾವುದನ್ನು ವ್ಯವಸ್ಥೆ ಮಾಡಲಾಗಿದೆಯೋ || te: కావాలని సిద్ధం చేసుకోవడం.,shared_synset,,,,,Which is arranged,Prepare to be.,false
B000050,ಗಣನೆ,నూరటం,gaṇane,nūraṭaṁ,,,random,,,,,"A suspicion or notion of merit, excellence, or quality of any kind according to a certain or fixed consensus or measurement.",to dry,false
B000051,ಸನಿಹ,దగ్గరలో,saniha,daggaralō,373,kn: ಯಾವುದೇ ಭೌತಿಕ ವಸ್ತು ಮತ್ತು ಪರಿಕಲ್ಪನಾತ್ಮಕ ವಸ್ತುಗಳ ನಡುವಿನ ಅಂತರ ಕಮ್ಮಿಯಿರುವುದನ್ನು ಸೂಚಿಸುವ ರೀತಿ || te: తక్కువ దూరంలో ఉండడం,shared_synset,,,,,A way of indicating a gap between any physical object and a conceptual object,Staying short,false
B000052,ಕೊಯ್ಯು,కోయు,koyyu,kōyu,9847,kn: ಯಾವುದಾದರು ಅಂಗವನ್ನು ಮೂಲ ವಸ್ತುವಿನಿಂದ ಬೇರೆ ಮಾಡುವುದು || te: మూల వస్తువు యొక్క చిన్నభాగాన్ని వేరు పరచుట.,shared_synset,,,,,Something that separates a part from its parent material,Detach a small part of the original object.,false
B000053,ದುರ್ಗೆ,సింహవాహిని,durge,siṁhavāhini,4404,kn: ಒಬ್ಬ ದೇವತೆಯು ಅನೇಕ ರಾಕ್ಷಸರನ್ನು ಸಂಹರಿಸಿದಳು ಮತ್ತು ಅವಳನ್ನು ಆದಿಶಕ್ತಿ ಎಂದು ನಂಬಲಾಗುತ್ತದೆ || te: సింహాన్ని వాహనంగా కలిగిన దేవత,shared_synset,,,,,A goddess killed many demons and is believed to be Adishakti,A deity with a lion as his vehicle,false
B000054,ಹಿಂದಿರುಗಿಸುವುದಿಲ್ಲ,సుందరుడు,hiṁdirugisuvudilla,suṁdaruḍu,,,random,,,,,A partial or full refund of what was paid,He is very beautiful,false
B000055,ಮಾಳಿಗೆ,మాళిగ,māḷige,māḷiga,,"kn: ಕೋಣೆ ಅಥವಾ ಚಾವಣಿಯಿಂದ ಹೊರಬರುತ್ತಿರುವ ನೀರು || te: ఎండ, వాన, చలి నుంచి కాపాడుకోవాడానికి నిర్మించుకునేది",form_similar,,,,,Water leaking from room or ceiling,"It was built to protect from sun, rain and cold",false
B000056,ಕನ್ಯರಾಶಿ,కన్యారాశి,kanyarāśi,kanyārāśi,358,kn: ಜ್ಯೋತಿಷ್ಚಕ್ರದಲ್ಲಿ ಯೌವನದ ಹೆಣ್ಣನ್ನು ಚಿತ್ರವಾಗುಳ್ಳ ರಾಶಿ || te: రాశులలో ఆరవది.,shared_synset,,,,,A sign representing a young woman in the horoscope,Sixth of the signs.,false
B000057,ನಪುಂಸಕತೆ,నపుంసకత్వము,napuṁsakate,napuṁsakatvamu,9224,kn: ನಪುಂಸಕನಾಗುವ ಅವಸ್ಥೆ ಅಥವಾ ಭಾವ || te: పురుష లేక స్త్రీ కాని భావము,shared_synset,,,,,The state or feeling of being eunuch,Neither masculine nor feminine,false
B000058,ಪೌರಾಣಿಕ,-పౌరాణికం,paurāṇika,-paurāṇikaṁ,26728,"kn: ಪುರಾಣಗಳ ಸಮೂಹ ಅಥವಾ ಅದರ ಕಥೆಗಳು ಯಾವುದಾದರು ಸಂಸ್ಕೃತಿ ಮೊದಲಾದವುಗಳನ್ನು ಒಳಗೊಂಡಿರುತ್ತದೆ || te: -ప్రాచీన కాలానికి, సంస్కృతికి  సంబంధించిన కథలు,వీటికి పంచలక్షణాలుంటాయి.",shared_synset,,,,,A collection of myths or its stories that includes something like a culture,"- Stories related to ancient times and culture, which have five characteristics.",false
B000059,ಒರಲು,రోలు,oralu,rōlu,3931,"kn: ಕಟ್ಟಿಗೆ, ಮರದ ಅಥವಾ ಕಲ್ಲಿನ ಆಳವಾದ ಪಾತ್ರೆ ಅದರಲ್ಲಿ ಧಾನ್ಯ ಮೊದಲಾದವುಗಳನ್ನು ಒನಕೆಯಿಂದ ಕುಟ್ಟುತ್ತಾರೆ || te: ఏదైనా ఆకును మొదలగు వాటిని దంచడానికి కావలసినది",shared_synset,,,,,"A deep vessel of wood, wood or stone in which grain is pounded with a sieve",Want to gnaw on any leaf etc,false
B000060,ಅಶರೀರವಾಣಿ,అశరీరవాక్కు,aśarīravāṇi,aśarīravākku,8506,kn: ಆ ಮಾತು ಈಶ್ವರನ ಕಡೆಯಿಂದ ಹೇಳಿರುವಂತಹದ್ದು ಮತ್ತು ಆಕಾಶ ಮಾರ್ಗವಾಗಿ ಕೇಳಿಬರುವಂತಹದ್ದು ಎಂದು ನಂಬಲಾಗುತ್ತದೆ || te: రూపం లేకుండా మాట్లాడటం,shared_synset,,,,,The words are believed to be spoken by God and heard through the sky,Speaking without form,false
B000061,ಆಸ್ಟ್ರಿಯಾ,ఆస్ట్రియా,āsṭriyā,āsṭriyā,,kn: ಆಸ್ಟ್ರಿಯಾದ ಅಥವಾ ಆಸ್ಟ್ರಿಯಾಗೆ ಸಂಬಂಧಿಸಿದ || te: మధ్య ఐరోపా యొక్క ఒక పర్వత దేశం.,form_similar,,,,,Of or relating to Austria,A mountainous country of Central Europe.,false
B000062,ಅಂಬ,ధాత్రి,aṁba,dhātri,2191,kn: ಜನ್ಮ ಪಡೆದ ಸ್ತ್ರೀ || te: మనకు జన్మనించే స్త్రీ,shared_synset,,,,,Born female,The woman who gives birth to us,false
B000063,ಅಮಾನವೀಯವಾದಂತಹ,ఫోటో,amānavīyavādaṁtaha,phōṭō,,,random,,,,,"That which does not have a proper, regular or systematic reason is unreliable or untrustworthy",A picture taken by a camera machine,false
B000064,ಖೈದಿ,ఖైదు,khaidi,khaidu,,kn: ರಾಜ ಮುಂತಾದವರ ಯಶಸ್ಸು ಮತ್ತು ಕೀರ್ತಿಯನ್ನು ವರ್ಣನೆ ಮಾಡುವ ವ್ಯಕ್ತಿ || te: జైలు శిక్ష అనుభవించేవాడు,form_similar,,,,,A person who describes the success and fame of Raja etc,He will serve prison sentence,false
B000065,ಗ್ರಾಮ್ಯವಾದ,గ్రామ్య,grāmyavāda,grāmya,4808,kn: ಗ್ರಾಮದ ಅಥವಾ ಗ್ರಾಮಕ್ಕೆ ಸಂಬಂಧಿಸಿದ || te: పల్లెకు సంబంధించిన,shared_synset,,,,,Of or pertaining to a village,Rural,false
B000066,ಪಡು,పడు,paḍu,paḍu,,kn: ಸೂರ್ಯನು ಮುಳುಗುವ ದಿಕ್ಕು ಅಥವಾ ಪೂರ್ವದ ಎದುರಿನ ದಿಕ್ಕು || te: నివశించడానికి ఉపయోగపడే స్థలము,form_similar,,,,,The direction the sun sets or the direction opposite east,A useful place to live,false
