pair_id,kn_word,te_word,kn_iso,te_iso,en_kn,en_te,gloss,candidate_source,label,origin,annotator,notes,excluded
P000018,ಲಕ್ಷದ,లక్షవ,lakṣada,lakṣava,"of a lakh (100,000 rupees)","lakh; the number 100,000",kn: ಲಕ್ಷ ರೂಪಾಯಿಗಳ || te: లెక్కింపులో నూరు వేల సంఖ్య,form_similar,cognate,sanskrit,Dhanya,"Telugu lemma lakṣava is a malformed/non-standard form; actual Telugu usage is lakṣalu (లక్షలు, ""lakhs"").",
P000019,ಅಷ್ಟಮೀ,అష్టమి,aṣṭamī,aṣṭami,Ashtami — 8th lunar day,Ashtami — 8th lunar day (tithi),kn: ಚಾಂದ್ರ ಮಾಸದ ಕೃಷ್ಣ ಪಕ್ಷದ ಎಂಟನೇ ತಿಥಿ || te: చంద్రమాసంలో వచ్చే ఎనిమిదవ తిధి,shared_synset,cognate,sanskrit,Dhanya,,
P000020,ವೃಷಭ,వృషభరాశి,vr̥ṣabha,vr̥ṣabharāśi,"Taurus (2nd zodiac sign, the bull)",Taurus (2nd zodiac sign),kn: ಜ್ಯೋತಿಷ್ಚಕ್ರದಲ್ಲಿ ಕೊಬ್ಬಿದ ಗೂಳಿಯನ್ನು ಚಿತ್ರವಾಗುಳ್ಳ ಎರಡನೇ ರಾಶಿ || te: రాశులలో రెండవది,shared_synset,cognate,sanskrit,Dhanya,,
P000021,ಪುಷ್ಪಮಾಲೆ,పుష్పమాల,puṣpamāle,puṣpamāla,flower garland,flower garland,kn: ಹೂವಿನಿಂದ ಕಟ್ಟಿದ ಮಾಲೆ ಅಥವಾ ದಾರದಿಂದ ಪೂಣೀಸಿರುವ ಹೂ || te: పూలను పక్కపక్కాగా కూర్చి కుట్టినది,shared_synset,cognate,sanskrit,Dhanya,,
P000022,ದಾಕ್ಷಾಯಿಣಿ,నీలలోహిత,dākṣāyiṇi,nīlalōhita,Shiva's wife (Dakshayani),Shiva's wife,kn: ಶಿವನ ಹೆಂಡತಿ || te: శివుడి యొక్క భార్య,shared_synset,unrelated,,Dhanya,,
P000023,ಪಾರಿತೋಷಕ,పారితోషకము,pāritōṣaka,pāritōṣakamu,reward / prize for some work,gratuity paid on retirement,kn: ಯಾವುದೋ ಕೆಲಸಕ್ಕೆ ನೀಡುವ ಸನ್ಮಾನ ಪೂರ್ವಕವಾಗಿ ನೀಡುವ ಧನ ಅಥವಾ ದ್ರವ್ಯ || te: ఉద్యోగమునుండి విరమించిన తరువాత ఇచ్చు ధనము.,form_similar,cognate,sanskrit,Dhanya,,
P000024,ಪುಟ್ಟ,పుట్ట,puṭṭa,puṭṭa,small / little,anthill (where termites live),kn: ಯಾವುದೋ ಒಂದರ ಆಕಾರ ಚಿಕ್ಕದಾಗಿರುವುದು || te: చెదలు ఉండే పుట్ట,form_similar,false_friend,,Dhanya,,
P000025,ವಿಘ್ನೇಶ್ವರ,వజ్రతుండు,vighnēśvara,vajratuṁḍu,Ganesha (elephant-faced Hindu god),Ganesha (elephant-headed Hindu god),"kn: ಹಿಂದೂಗಳ ಪ್ರಧಾನ ಮತ್ತು ಅಗ್ರಪೂಜೆಯನ್ನು ಮಾಡುವ ದೇವರು, ಮನುಷ್ಯ ಶರೀರವನ್ನು ಹೊಂದಿದ್ದು ಆನೆಯ ಮುಖವನ್ನು ಹೊಂದಿರುವ ದೆವರು || te: హిందువులకు ప్రధాన అగ్రపూజ్య దేవుడు ఇతని శరీరం మనిషి వలే మరియు తల ఏనుగువలే ఉంటుంది",shared_synset,unrelated,,Dhanya,,
P000026,ವೀರತನ,పరాక్రమం,vīratana,parākramaṁ,heroism / valour,valour / prowess,kn: ವೀರನಾಗಿರುವುದು || te: వీరుడయ్యే స్థితి లేక భావము.,shared_synset,unrelated,,Dhanya,,
P000027,ಸಚ್ಚರಿತ್ರ,సచ్చరిత,saccaritra,saccarita,of good character (a person),having good qualities; virtue,kn: ಒಳ್ಳೆಯ ಗುಣವುಳ್ಳ ಅಥವಾ ಎಲ್ಲರಿಗೂ ಇಷ್ಟವಾಗುವ ಒಳ್ಳೆಯ ನಡತೆಯುಳ್ಳ ಪುರುಷ ಅಥವಾ ಮಹಿಳೆ || te: మంచి లక్షణాలను కలిగివుండటం.,form_similar,cognate,sanskrit,Dhanya,,
P000028,ಅವತರಿಸಿದಂತಹ,గుడగుడ,avatarisidaṁtaha,guḍaguḍa,incarnated / descended (adjectival),gurgling / rumbling sound,,random,unrelated,,Dhanya,,
P000029,ಗಾಂಧಾರೀ,గాంధారీ,gāṁdhārī,gāṁdhārī,Gandhari — Duryodhana's mother,Gandhari — a musical raga,kn: ದುರ್ಯೋಧನನ ತಾಯಿ || te: నాలుగు రాగాల తర్వాత వచ్చె రాగం,form_similar,cognate,sanskrit,Dhanya,both meanings apply to both the languages,
P000030,ಟೀ,టీ,ṭī,ṭī,tea (the beverage),tea (made from tea leaves),kn: ಒಂದು ಗಿದ ಅದರ ಎಲೆಗಳನ್ನು ಕುದಿಯು ನೀರಿನಲ್ಲಿ ಹಾಕಿ ಒಂದು ಕುಡಿಯಬಹುದಾದ ಪಾನೀಯ/ಪೇಯವನ್ನು ತಯಾರಿಸಲಾಗುತ್ತದೆ || te: తేయాకులతో చేసే ద్రవ పదార్థం,form_similar,cognate,other_borrowing,Dhanya,,
P000031,ನಿರ್ಮಿತ,నిర్మాత,nirmita,nirmāta,constructed / made (a thing),a maker / producer (person),kn: ಯಾವುದೇ ವಸ್ತು ಸಂಗತಿಗಳು ಪೂರ್ಣವಾಗಿ ರಚನೆಗೊಂಡಿರುವ || te: నిర్మించే లేక తయారు చేసే వ్యక్తి.,form_similar,cognate,sanskrit,Dhanya,,
P000032,ನಿಯಮಿತವಲ್ಲದಂತ,అనియమితమైన,niyamitavalladaṁta,aniyamitamaina,irregular; not regular,irregular; without a set method,kn: ಯಾವುದು ನಿಯಮಿತವಾಗಿಲ್ಲವೋ || te: ఒక క్రమపద్దతిలేనిది,shared_synset,cognate,sanskrit,Dhanya,,
P000033,ತಗಲು,తగులు,tagalu,tagulu,to touch (one thing touches another),to touch (one thing touches another),kn: ಒಂದು ವಸ್ತು ಇನ್ನೊಂದು ವಸ್ತುವನ್ನು ಸ್ಪರ್ಶಿಸು || te: ఒక వస్తువు మరొక వస్తువును స్పర్శించడం,shared_synset,cognate,inherited,Dhanya,,
P000034,ಭಾಷಾಂತರಕಾರ,భాషాంతరీకరమైన,bhāṣāṁtarakāra,bhāṣāṁtarīkaramaina,translator (between languages),translator; one who translates,kn: ಯಾವುದೇ ಒಂದು ಭಾಷೆಯಿಂದ ಇನ್ನೊಂದು ಭಾಷೆಗೆ ತರ್ಜುಮೆ ಮಾಡುವವ || te: భాషాంతరీకరణ చేయు వ్యక్తి.,shared_synset,cognate,sanskrit,Dhanya,,
P000035,ಅಭ್ಯರ್ಥಿ,అభ్యర్థి,abhyarthi,abhyarthi,candidate (standing for election),candidate (contesting an election),kn: ಯಾವುದಾದರು ಪದವಿಗಾಗಿ ಚುನಾವಣೆಗೆ ನಿಂತು ಕೊಳ್ಳುವ ವ್ಯಕ್ತಿ || te: ఎన్నికల సమయంలో  అధికారం కోసం పోటీలో నిలబడే వ్యక్తి,shared_synset,cognate,sanskrit,Dhanya,,
P000036,ರೋಜಾ,రోజా,rōjā,rōjā,roza — the Ramadan fast,rose (the flower),kn: ಮುಸಲ್ಮಾನ ಧರ್ಮದ ಪ್ರಕಾರ ರಂಜಾನ್ ತಿಂಗಳಲ್ಲಿ ಉಪವಾಸ ಮಾಡುವ ಒಂದು ವಿಧಿ ಅಥವಾ ವ್ರತ || te: ఒక అందమైన పువ్వు ఈ మొక్క ముల్లు కలిగి ఉంటుంది,form_similar,false_friend,,Dhanya,,
P000037,ಕೈಬಾಚಿ,చిన్నగొడ్డలి,kaibāci,cinnagoḍḍali,small axe / adze (for carving wood),small axe / hatchet (for cutting plants),kn: ಮರಗಳನ್ನು ಕೆತ್ತಲು ಅಥವಾ ಚಕ್ಕೆ ಎಬ್ಬಿಸಲು ಬಳಸುವ ಒಂದು ಚಿಕ್ಕ ಸಾಧನ || te: మొక్కలు నరకడానికి కర్రకు తొడిగిన ఇనుప సాధనం,shared_synset,unrelated,,Dhanya,,
P000038,ಸ್ತುತಿ,ఉపయోగము,stuti,upayōgamu,praise / eulogy,use / utility,,random,unrelated,,Dhanya,,
P000039,ಹೆಸರಿನವ,తిరస్కరించు,hesarinava,tiraskariṁcu,a renowned person; one of repute,to reject / refuse,,random,unrelated,,Dhanya,,
